GRB120224A.qdp,3,"[1.821964686200145, 1.2256270119824253, 1.3146191657571777, 1.09741725874021]","[70662.77409771674, 0.012772522563406476, 0.013108562262867727, 0.20267956246572713]","[92.06865054568405, 19120.450321398443, 4436499.792039056]","[27470843.826179523, 11585.577985222646, 2823746.5234781895]",16705143.108546456,3440001816668.8237,4215.795678583505,2.605559751905751,1626,8,1618,1573.1348806813198,1427603.77570688
GRB100915A.qdp,4,"[6.9443258706881e-310, 5.21501791652057e-310, -5.816164688823847, -7.039234066611205, 0.0]","[0.0, 0.0, -0.0, -0.0, nan]","[-0.0007017192875228768, -0.0006281683311232176, 0.0, 1.2864274243944533]","[nan, -0.0, -0.0, nan]",1.1315413968084997,nan,0.0,-0.0,7,10,-3,-inf,nan
GRB071227.qdp,2,"[0.875774565095739, 0.07356643992526414, 1.190358280120194]","[1499587.3520439845, 0.261252703506567, 0.28448120774972857]","[212.8189992256271, 1845.5782018733403]","[1704259161.8612113, 1004.5894762960277]",20.261766829961466,93251634.54423025,20.36290428891368,2.9089863269876686,13,6,7,25.88146083034291,1111.8285376279703
GRB071112B.qdp,3,"[-1.4398771784022095, 0.9188952098053855, 1.66720383514517, 1.649454601896852]","[0.7434978704160562, 0.06244643463334165, 0.49349556362826885, 0.5235648717764342]","[365.8033167570772, 6260.472458757747, 93896.08071807656]","[32.41699304471365, 6876.415815677331, 3638632.5744206104]",0.0032808270947160033,0.013862393660291988,60.38011786299308,1.183923879666531,59,8,51,25.96122037080014,30555.142602658296
GRB110503A.qdp,3,"[1.7220113099698628, 0.6139038965670561, 1.0840798566109067, 1.9015956892308368]","[0.1696967415252512, 0.12472335951756974, 0.019651147974476965, 0.14424438489589492]","[135.27360485264848, 559.5690668579371, 18776.627846701842]","[11.79175784879983, 178.54162491021725, 1685.13508695849]",11612.335063478438,8821.29978074417,22.98491805660361,1.276939892033534,26,8,18,22.356129163130603,3024.7907397033687
GRB110903A.qdp,0,[0.8485289224781347],[0.14240996131496061],[],[],66.54326570357429,84.60736101015209,19.360552670901228,1.7600502428092026,13,2,11,11.349450624012697,497.9280606017468
GRB090813.qdp,3,"[1.431598143673487, 5.017449225331597, 0.5138124507957378, -0.27070846896836787]","[15.395115651552839, 0.096746558420085, 0.5558185176279522, 19.57058798706678]","[97.24248503618605, 588.0530821149281, 310455.82531747746]","[30.137321452170706, 303.4611030999731, 2718147.326517472]",168416.0377614708,11850000.995164927,112.76527654824658,1.4837536387927182,84,8,76,49.14431002695696,7152.029829506139
GRB090807.qdp,2,"[2.883853874607037, 3.998177668477261, 0.5470045758958135]","[0.07959225472280165, 0.07762798441908285, 0.011677798978756938]","[106.70278153556796, 446.5687539920538]","[2.415706713396624, 20.42605965411532]",24364471.006246224,14974543.217384884,245.99703670027915,3.4166255097260994,78,6,72,107.83496293097454,8951.292905877928
GRB120320A.qdp,0,[1.5524543305268939],[0.0],[],[],378.2084362545262,0.0,0.0,nan,2,2,0,nan,17.496096034196526
GRB121024A.qdp,3,"[-1.197166683502266, 3.9715173844744145, 0.8460390350708705, 1.1998466389837306]","[0.13566500993516106, 0.26141187114806086, 0.02561449680857921, 0.1146495092436651]","[103.43176365209577, 199.39226967596795, 19762.069822672416]","[1.070216388627054, 10.829453979590719, 21037.097212499735]",0.041160912542474365,0.1088821772664753,49.22778777051152,2.8957522217947953,25,8,17,42.58112280226485,2288.1758477101394
