GRBname,Trig_ID,T90,T90_err,redshift,z_err,conversion
GRB200410A,965638.0,108.72,40.72945,,,3.5899999999999994e-11
GRB200409A,965484.0,16.0,5.09902,,,3.2e-11
GRB200324A,963260.0,,,,,3.83e-11
GRB200306C,960102.0,53.152,13.72531,,,4.2099999999999995e-11
GRB200306A,959917.0,32.964,1.109263,,,3.96e-11
GRB200303A,959431.0,94.22,6.395724,,,3.68e-11
GRB200228B,958733.0,7.368,1.575558,,,3.8899999999999996e-11
GRB200227A,958592.0,30.328,9.202282,,,4.71e-11
GRB200224A,958141.0,45.0,9.219544,,,
GRB200219A,957271.0,288.0,50.59644,,,5.019999999999999e-11
GRB200216B,956824.0,67.448,6.568044,,,5.99e-11
GRB200215A,956639.0,11.148,2.154535,,,5.11e-11
GRB200205B,954519.0,453.912,4.498539,1.465,,3.58e-11
GRB200131A,953689.0,32.74,0.8790541,,,4.04e-11
GRB200127A,952791.0,217.024,23.58849,,,4.2199999999999994e-11
GRB200125A,952164.0,350.336,32.96678,,,3.04e-11
GRB200122A,950330.0,190.596,4.514513,,,5.03e-11
GRB200115A,949361.0,242.14,27.23407,,,
GRB200109A,948361.0,112.0,32.0,,,5.44e-11
GRB200107B,948219.0,86.676,11.66023,,,3.8899999999999996e-11
GRB191228A,946476.0,193.816,29.87514,,,3.41e-11
GRB191227A,946344.0,55.888,16.28185,,,
GRB191221B,945521.0,48.0,16.0,1.148,,3.5399999999999995e-11
GRB191220A,945344.0,175.584,125.9951,,,3.35e-11
GRB191218A,944916.0,44.664,0.7391347,,,
GRB191213A,944091.0,118.992,18.26491,,,
GRB191130A,3110538005.0,17.56,2.876871,,,
GRB191123A,939079.0,284.812,52.23177,,,3.21e-11
GRB191122A,938899.0,125.736,31.04972,,,5.269999999999999e-11
GRB191106A,933515.0,3.436,0.324863,,,3.25e-11
GRB191101A,932742.0,142.708,18.24723,,,3.18e-11
GRB191031D,932608.0,0.288,0.04681884,,,3.31e-11
GRB191031C,932595.0,78.5,7.509189,,,3.7799999999999995e-11
GRB191031A,932435.0,12.132,2.347513,,,
GRB191029A,932058.0,41.0,8.246211,,,3.43e-11
