grb_name,flare_num,t_start,t_peak,t_stop,par_t_start,par_rise,par_decay,par_amp,par_t_start_err,par_rise_err,par_decay_err,par_amp_err,fluence_tot,fluence_rise,fluence_decay,peak_flux,peak_flux_err,redshift,conversion,t_rise,t_decay,t_wait,duration,d_l,e_iso,L_p,L_iso
GRB101017A,1,92.555,103.663,121.947,79.05552022419769,159.21750661016324,3.591059836777214,8.725914306724824e-13,1.8708591626768083,0.0,0.5356001695485262,4.8525877180180535e-12,1.817629635009857e-08,8.042266241703474e-09,1.0134030108395095e-08,4.49745696e-09,5.56916688e-10,,4.32e-11,11.10799999999999,18.284000000000006,,29.391999999999996,,,,
GRB091111A,1,71.953769179057,72.6096682151616,77.8464015863269,71.03660943803585,0.1688212489936709,3.164684842583591,323.3376207427466,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.6558990361046,5.2367333711653,,5.8926324072699,,,,
GRB091111A,2,92.792,117.129,131.94,75.31025407860662,249.87100487844688,5.674996049493055,6.401235423114926e-11,0.7456949203309526,0.0,0.2175482893172478,9.055533527425156e-11,0.0,0.0,0.0,0.0,0.0,,0.0,24.337000000000003,14.810999999999993,20.838230820942997,39.147999999999996,,,,
GRB120802A,1,441.356,508.857,638.614,435.1857839438498,122.65422634117282,48.73565957237347,8.807907593780254,32.921091218900706,155.89004259815658,17.32225258601674,13.23693483002284,1.7857258937355394e-08,5.257353329211002e-09,1.2599905608144394e-08,2.731754964e-10,6.1083904e-11,3.796,3.56e-11,67.50100000000003,129.757,92.0258548790659,197.25800000000004,1.0646403889727104e+29,5.303363086464662e+50,8.112940786806866e+48,1.289424477723819e+49
GRB090107A,1,99.323,100.97,107.281,97.88937009274524,3.606184295482701,2.3989270642590754,250.6537259275181,0.2608544829883067,0.986828016598134,0.1618476210892615,25.44383156876749,0.0,0.0,0.0,0.0,0.0,,0.0,1.6470000000000056,6.311000000000007,,7.958000000000013,,,,
GRB090107A,2,247.807,280.278,308.853,248.2696552629005,75.99100712020247,10.048031247669767,1.3641043842167806,6.34256852752971,55.65820622643614,2.274010417207251,6.2337969690872175,0.0,0.0,0.0,0.0,0.0,,0.0,32.47100000000003,28.57499999999999,148.48399999999998,61.04600000000002,,,,
GRB090107A,3,446.393,462.801,467.642,445.60307137354965,0.7607091338834934,526.2645616940642,20.82289758100906,0.4570573256886907,0.3460627100460743,307.4991913976646,0.901219614765179,0.0,0.0,0.0,0.0,0.0,,0.0,16.408000000000015,4.841000000000008,198.58599999999998,21.249000000000024,,,,
GRB051117B,1,267.635,277.041,284.168,268.89149915837845,2.531562762041598e-05,5.269379771896896,19.89024261150748,0.1551123404167699,0.2222560731019739,0.7680445894196343,3.639164394329629,4.843911063264995e-09,4.034626769969829e-09,8.092842932951652e-10,3.198483474e-09,4.94076798e-10,0.481,4.89e-11,9.406000000000006,7.1270000000000095,180.71235651586767,16.533000000000015,8.46499176383298e+27,2.945127127115604e+48,1.9446972336768976e+48,2.6381983156464072e+47
GRB051117B,2,335.094,345.926,354.052,342.20433108447435,24.732487124573595,0.4749359782685248,4.2999983973260156e-16,0.1955410204234782,0.0,0.0,7.31462395561802e-17,1.0866763078508676e-09,5.677388894845308e-10,5.189374183663368e-10,2.4576259800000002e-09,3.803153979e-10,0.481,4.89e-11,10.831999999999994,8.126000000000033,67.459,18.958000000000027,8.46499176383298e+27,6.6070574600686755e+47,1.4942514111981543e+48,5.161436912312319e+46
GRB051117B,3,810.318,820.512,842.048,818.5200741752799,2.734316481267156e-05,2.3781168444446985,20.17853596710651,3.2561645950421787,3.376141054863268,1.6932135136411888,43.28344346606718,2.344839092669633e-09,1.3294902006427553e-09,1.0153488920268775e-09,1.42811961e-09,2.2575550530000002e-10,0.481,4.89e-11,10.19399999999996,21.536000000000058,475.224,31.730000000000018,8.46499176383298e+27,1.4256763037857366e+48,8.683053320433477e+47,6.654354257506066e+46
